对象ID,对象,英文名,类型,领域,国家地区,官网,GitHub,文档,商业模式,追踪状态,入库状态,追踪源数,候选数,最近发现,最近审查,说明,检查日期
ent-github,,GitHub,Software platform,Agent 工具平台,US,https://github.com,https://github.com/github,https://docs.github.com,Commercial and free tiers,active,indexed,1,1,2026-07-07T09:04:32Z,2026-07-07,Official GitHub MCP repository baseline tracking,2026-07-07
ent-galaxy,,Galaxy Project,Professional software,生物信息学软件,Global,https://galaxyproject.org,https://github.com/galaxyproject,https://docs.galaxyproject.org,Open source,active,not_indexed,1,1,2026-07-07T09:04:32Z,2026-07-07,Public bioinformatics platform and tooling,2026-07-07
ent-nextflow,,Nextflow,Professional software,生物信息学软件,Global,https://www.nextflow.io,https://github.com/nextflow-io,https://www.nextflow.io/docs/latest,Open source and commercial ecosystem,active,not_indexed,1,0,,,Public workflow software platform,2026-07-07
ent-snakemake,,Snakemake,Professional software,生物信息学软件,Global,https://snakemake.github.io,https://github.com/snakemake,https://snakemake.readthedocs.io,Open source,active,not_indexed,1,1,2026-07-07T09:04:32Z,2026-07-07,Public workflow software platform,2026-07-07
ent-clinicaltrials,,ClinicalTrials.gov,Public data source,临床试验与监管公开数据,US,https://clinicaltrials.gov,,https://clinicaltrials.gov/data-api/api,Free public resources,active,not_indexed,1,0,,,Official public clinical-trial data API,2026-07-07
ent-openfda,,openFDA,Public data source,临床试验与监管公开数据,US,https://open.fda.gov,https://github.com/FDA,https://open.fda.gov/apis,Free public resources,active,not_indexed,1,0,,,Official FDA public data APIs and examples,2026-07-07
ent-ensembl,,Ensembl,Public data source,生命科学公共数据源,UK/Global,https://www.ensembl.org,https://github.com/Ensembl,https://rest.ensembl.org,Free public resources,active,not_indexed,1,0,,,Official Ensembl public genomics tooling,2026-07-07
ent-ncbi,,NCBI,Public data source,生命科学公共数据源,US,https://www.ncbi.nlm.nih.gov,https://github.com/ncbi,https://www.ncbi.nlm.nih.gov/datasets/docs/v2,Free public and API-key resources,active,not_indexed,1,0,,,Official public life-science data and software organization,2026-07-07
ent-rcsb-pdb,,RCSB PDB,Public data source,生命科学公共数据源,US,https://www.rcsb.org,https://github.com/rcsb,https://www.rcsb.org/docs/programmatic-access/web-apis-overview,Free public resources,active,not_indexed,1,1,2026-07-07T09:04:32Z,2026-07-07,Official RCSB PDB public structure-data tooling,2026-07-07
ent-uniprot,,UniProt,Public data source,生命科学公共数据源,Global,https://www.uniprot.org,https://github.com/ebi-uniprot,https://www.uniprot.org/help/programmatic_access,Free public resources,active,not_indexed,1,0,,,Official UniProt public data and tooling,2026-07-07
